"","mn","l","ln.mn","mu","lambda","K"
"1",191,22.0003,10.5045468560933,26.1270808469273,0.307002775313456,0.0834539308902325
"2",245,24.6035,11.0025164210895,27.9836463212484,0.300488660990629,0.0747393906130786
"3",314,27.3328,11.4987859718165,29.6728545626598,0.295552359416942,0.0652908225675782
"4",403,30.1876,11.9978731238934,31.5414614576693,0.290999117602819,0.0596455537729923
"5",518,33.2113,12.499950484519,33.3568920677532,0.289625867104208,0.058488115718426
"6",665,36.3463,12.9995740813117,35.1568766726153,0.287411887187994,0.0552951648487427
"7",854,39.2532,13.4998623875771,36.9316823428425,0.286103859678628,0.0532069886923455
"8",1097,42.2377,14.0006689205505,38.8400374022755,0.28545058286209,0.0542714156634224
"9",1408,45.7776,14.499851073436,40.5852663421656,0.283531567250481,0.0501545069026948
"10",1808,48.6429,14.9999530819042,42.3783381189792,0.282982117226065,0.0494080834060295
"11",2322,50.9345,15.5003683245157,44.1487806363033,0.278079607276595,0.0398157489208553
"12",2981,54.1332,16.0000281873561,45.9976694900185,0.279204876174066,0.0425423778869819
